hour,time_label,spot_price_dkk_kwh,co2_emission_g_kwh,gross_demand_mwh,renewable_gen_mwh,net_load_mwh,renewable_share,feeder_gross_load_kw,feeder_net_load_kw,data_source,price_area,combined_signal_score,ev_dispatch_price_only_kw,feeder_load_price_only_kw,feeder_overload_price_only_kw,ev_dispatch_co_optimized_kw,feeder_load_co_optimized_kw,feeder_overload_co_optimized_kw,user_plug_in_hour,user_departure_hour,user_energy_target_kwh,feeder_transformer_cap_kw,feeder_n_evs
0,00:00,1.3202,112.3333,2768.7186,2279.2078,489.5108,0.8232,206.0680,103.8182,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4886,0.0000,103.8182,0.0000,11.0000,323.8182,0.0000,18,7,44.0000,450.0000,20
1,01:00,1.1782,122.9167,3296.1470,2082.0537,1214.0933,0.6317,273.8083,180.1781,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.5611,11.0000,400.1781,0.0000,0.0000,180.1781,0.0000,18,7,44.0000,450.0000,20
2,02:00,1.1319,93.1667,3501.4304,2335.4193,1166.0112,0.6670,300.1738,198.6645,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4301,11.0000,418.6645,0.0000,11.0000,418.6645,0.0000,18,7,44.0000,450.0000,20
3,03:00,1.1012,133.5000,3818.6099,2444.8277,1373.7823,0.6402,340.9108,239.9799,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.5775,11.0000,459.9799,9.9799,0.0000,239.9799,0.0000,18,7,44.0000,450.0000,20
4,04:00,1.1139,130.4167,3894.1861,2612.8049,1281.3811,0.6710,350.6174,238.2374,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.5595,11.0000,458.2374,8.2374,0.0000,238.2374,0.0000,18,7,44.0000,450.0000,20
5,05:00,1.2082,117.0000,3967.2391,2233.6338,1733.6052,0.5630,360.0000,269.8365,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.6449,0.0000,269.8365,0.0000,0.0000,269.8365,0.0000,18,7,44.0000,450.0000,20
6,06:00,1.3809,150.4167,3766.5711,2252.1331,1514.4381,0.5979,334.2272,249.2393,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.8163,0.0000,249.2393,0.0000,0.0000,249.2393,0.0000,18,7,44.0000,450.0000,20
7,07:00,1.4401,163.2500,3131.6890,3160.0126,-28.3236,0.9900,252.6861,132.6861,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.6371,0.0000,132.6861,0.0000,0.0000,132.6861,0.0000,18,7,44.0000,450.0000,20
8,08:00,1.4269,159.7500,2968.3708,3656.7688,-688.3981,0.9900,231.7103,112.6731,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.5091,0.0000,112.6731,0.0000,0.0000,112.6731,0.0000,18,7,44.0000,450.0000,20
9,09:00,1.2685,156.7500,2756.0609,3102.4400,-346.3791,0.9900,204.4423,136.2724,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4649,0.0000,136.2724,0.0000,0.0000,136.2724,0.0000,18,7,44.0000,450.0000,20
